elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
253;-15.23;-1.63;253;0.01;-0.02
254;-5.08;-1.77;254;0.01;-0.02
255;-15.01;-1.63;255;0.02;-0.02
256;-5;-1.77;256;0.03;-0.03
257;-25.74;-1.34;257;0;-0.02
258;-25.38;-1.34;258;0;-0.01
259;-25.02;-1.34;259;0;-0.01
260;-46.33;-0.35;260;0;0
261;-36.04;-0.91;261;0;0
262;-45.68;-0.35;262;0;-0.01
263;-35.53;-0.91;263;-0.01;-0.01
264;-45.04;-0.35;264;-0.01;-0.01
265;-35.03;-0.91;265;-0.02;-0.01
266;-16.09;-1.63;266;-0.01;-0.01
267;-5.36;-1.77;267;-0.01;-0.02
268;-15.88;-1.63;268;0;-0.01
269;-5.29;-1.77;269;-0.01;-0.02
270;-15.66;-1.63;270;-0.02;-0.01
271;-5.22;-1.77;271;-0.02;-0.02
272;-26.82;-1.34;272;-0.02;-0.01
273;-26.46;-1.34;273;-0.03;-0.02
274;-26.1;-1.34;274;0;0
275;-48.28;-0.35;275;0;0
276;-37.55;-0.91;276;0;0
277;-46.98;-0.35;277;0;0
278;-47.63;-0.35;278;0;0
279;-36.54;-0.91;279;-0.01;0
280;-37.04;-0.91;280;0;0
281;36.04;-0.91;281;-0.01;0
282;46.33;-0.35;282;0.02;-0.01
283;35.53;-0.91;283;0.01;-0.01
284;45.68;-0.35;284;0.01;-0.01
285;35.03;-0.91;285;0;-0.01
286;45.04;-0.35;286;0.02;-0.01
287;25.74;-1.34;287;0.02;-0.02
288;25.38;-1.34;288;0.02;-0.01
289;25.02;-1.34;289;0.03;-0.02
290;5.15;-1.77;290;0.01;-0.01
291;15.44;-1.63;291;0.01;-0.02
292;5;-1.77;292;0;-0.01
293;5.08;-1.77;293;0.01;-0.02
294;15.01;-1.63;294;0;0
295;15.23;-1.63;295;0.01;0
296;37.55;-0.91;296;0;0
297;48.28;-0.35;297;0.01;0
298;37.04;-0.91;298;0;0
299;47.63;-0.35;299;0;0
300;36.54;-0.91;300;0;0
301;46.98;-0.35;301;0;0
302;26.82;-1.34;302;0;-0.08
303;26.46;-1.34;303;0;-0.06
304;26.1;-1.34;304;0;-0.05
305;5.36;-1.77;305;0;-0.04
306;16.09;-1.63;306;0;-0.03
307;5.29;-1.77;307;-0.01;-0.05
